Ticker,PnL%,Reason,Hold,EntryDate,ExitDate
LODHA.NS,24.59,Target +20%,13,2023-05-31,2023-06-13
ANANTRAJ.NS,20.26,Target +20%,49,2023-05-02,2023-06-20
ADANIPOWER.NS,2.78,Tight Trail -8%,22,2023-05-31,2023-06-22
POLICYBZR.NS,20.25,Target +20%,56,2023-05-02,2023-06-27
LODHA.NS,-2.65,Tight Trail -8%,11,2023-06-30,2023-07-11
ANGELONE.NS,-7.62,Tight Trail -8%,17,2023-06-30,2023-07-17
LINDEINDIA.NS,20.05,Target +20%,121,2023-03-27,2023-07-26
RPOWER.NS,21.0,Target +20%,32,2023-06-30,2023-08-01
GODREJPROP.NS,0.29,Tight Trail -8%,34,2023-06-30,2023-08-03
MGL.NS,2.3,Tight Trail -8%,100,2023-05-02,2023-08-10
HSCL.NS,21.06,Target +20%,41,2023-06-30,2023-08-10
LODHA.NS,-8.78,Tight Trail -8%,10,2023-07-31,2023-08-10
ADANIPOWER.NS,21.91,Target +20%,49,2023-06-30,2023-08-18
EIHOTEL.NS,26.14,Target +20%,111,2023-05-02,2023-08-21
ABREL.NS,-9.18,Tight Trail -8%,21,2023-07-31,2023-08-21
LEMONTREE.NS,22.24,Target +20%,112,2023-05-02,2023-08-22
ANANTRAJ.NS,20.47,Target +20%,59,2023-06-30,2023-08-28
MOTILALOFS.NS,3.21,Tight Trail -8%,28,2023-07-31,2023-08-28
GICRE.NS,20.26,Target +20%,60,2023-06-30,2023-08-29
HSCL.NS,24.22,Target +20%,6,2023-08-30,2023-09-05
JSWENERGY.NS,20.87,Target +20%,12,2023-08-30,2023-09-11
JPPOWER.NS,20.25,Target +20%,12,2023-08-30,2023-09-11
DBREALTY.NS,-4.1,Tight Trail -8%,13,2023-08-30,2023-09-12
RPOWER.NS,-8.91,Tight Trail -8%,13,2023-08-30,2023-09-12
LINDEINDIA.NS,0.06,Tight Trail -8%,13,2023-08-30,2023-09-12
ANANTRAJ.NS,-1.46,Tight Trail -8%,23,2023-08-30,2023-09-22
JPPOWER.NS,-11.71,Tight Trail -8%,10,2023-09-29,2023-10-09
ADANIPOWER.NS,-9.39,Tight Trail -8%,10,2023-09-29,2023-10-09
JSWENERGY.NS,-9.16,Tight Trail -8%,12,2023-09-29,2023-10-11
TATAINVEST.NS,-5.0,Tight Trail -8%,17,2023-09-29,2023-10-16
DBREALTY.NS,-2.16,Tight Trail -8%,21,2023-09-29,2023-10-20
MOTILALOFS.NS,2.41,Tight Trail -8%,54,2023-08-30,2023-10-23
GODFRYPHLP.NS,-3.41,Tight Trail -8%,24,2023-09-29,2023-10-23
