regime,trend,volume,horizon,n,avg_ret,median_ret,win_rate,avg_winner,avg_loser,payoff_ratio,max_dd,sharpe,sortino,calmar,var_95,cvar_95,worst_trade,best_trade
Strong_Bear,20-40,Big_Drop,60,65,4.59,3.09,58.5,13.05,-7.32,1.78,29.37,0.69,1.62,0.16,-14.95,-18.91,-22.31,48.58
Strong_Bear,20-40,Big_Drop,90,65,8.16,4.46,70.8,14.46,-7.09,2.04,29.37,0.92,2.77,0.28,-11.53,-14.45,-15.97,61.16
Strong_Bear,20-40,Drop,60,72,8.44,7.34,80.6,12.43,-8.11,1.53,36.07,1.36,2.18,0.23,-10.3,-18.93,-27.27,49.18
Strong_Bear,20-40,Drop,90,72,9.03,7.87,75.0,14.14,-6.3,2.25,36.07,1.0,2.17,0.25,-10.2,-18.02,-21.16,64.84
Strong_Bear,20-40,Jump,60,47,4.84,5.35,72.3,9.98,-8.58,1.16,27.44,0.87,1.75,0.18,-11.64,-16.21,-23.91,40.17
Strong_Bear,20-40,Jump,90,47,7.97,7.14,70.2,14.57,-7.59,1.92,27.44,0.93,3.38,0.29,-12.18,-13.41,-14.11,54.71
Strong_Bear,0-20,Spike,60,78,10.28,7.49,74.4,15.79,-5.71,2.76,32.02,1.27,4.85,0.32,-10.67,-12.46,-13.86,91.3
Strong_Bear,0-20,Spike,90,78,13.92,11.3,76.9,19.98,-6.28,3.18,35.52,1.19,4.7,0.39,-7.37,-12.94,-21.76,109.53
Strong_Bear,0-20,Flat,60,490,15.75,12.46,84.9,19.59,-5.93,3.3,31.72,1.75,6.2,0.5,-7.04,-11.67,-23.33,101.25
Strong_Bear,0-20,Flat,90,490,20.92,14.13,86.9,24.98,-6.07,4.11,31.72,1.44,6.87,0.66,-6.18,-11.44,-21.34,141.9
Strong_Bear,0-20,Big_Drop,60,169,12.18,8.74,81.7,16.22,-5.78,2.8,30.36,1.47,4.28,0.4,-6.82,-12.78,-26.7,104.46
Strong_Bear,0-20,Big_Drop,90,169,14.87,10.35,78.1,20.64,-5.73,3.6,32.77,1.27,4.92,0.45,-7.29,-13.09,-19.37,79.31
Strong_Bear,0-20,Drop,60,187,14.61,12.04,79.7,19.31,-3.9,4.95,28.77,1.84,8.46,0.51,-5.37,-8.93,-15.58,75.68
Strong_Bear,0-20,Drop,90,187,16.85,11.19,83.4,21.61,-7.07,3.06,41.09,1.36,5.9,0.41,-8.01,-12.76,-17.77,81.16
Strong_Bear,0-20,Jump,60,87,13.62,9.87,78.2,19.13,-6.08,3.14,29.22,1.27,6.44,0.47,-8.25,-11.87,-15.57,126.9
Strong_Bear,0-20,Jump,90,87,18.05,11.23,82.8,23.41,-7.64,3.07,38.29,1.15,4.1,0.47,-10.51,-16.58,-22.99,150.01
Strong_Bear,40-60,Flat,60,107,9.77,7.08,81.3,13.95,-8.37,1.67,32.24,1.43,3.33,0.3,-11.42,-15.71,-21.63,46.89
Strong_Bear,40-60,Flat,90,107,11.41,8.85,76.6,17.36,-8.14,2.13,32.24,1.09,2.84,0.35,-13.41,-17.33,-24.02,67.0
Strong_Bear,40-60,Big_Drop,60,27,7.08,4.23,74.1,12.27,-7.76,1.58,25.56,1.05,2.48,0.28,-11.71,-15.36,-17.39,43.86
Strong_Bear,40-60,Big_Drop,90,27,8.36,3.7,74.1,15.36,-11.64,1.32,25.56,0.75,2.37,0.33,-14.59,-18.9,-21.85,58.4
Strong_Bear,40-60,Drop,60,40,8.66,7.3,77.5,12.67,-5.16,2.45,20.73,1.43,5.3,0.42,-5.89,-9.71,-12.58,47.83
Strong_Bear,40-60,Drop,90,40,11.93,10.67,80.0,16.41,-5.97,2.75,20.73,1.32,4.1,0.58,-8.85,-12.06,-14.82,56.93
Strong_Bear,40-60,Jump,60,20,14.4,6.66,85.0,18.34,-7.92,2.31,20.84,1.64,7.35,0.69,-8.83,-11.5,-11.5,48.89
Strong_Bear,40-60,Jump,90,20,15.23,11.34,70.0,25.54,-8.82,2.9,21.6,1.09,3.52,0.71,-12.75,-20.62,-20.62,54.25
Mild_Bear,80-100,Spike,60,59,6.53,5.12,71.2,12.3,-7.72,1.59,26.95,0.97,1.92,0.24,-13.35,-19.98,-22.46,54.21
Mild_Bear,80-100,Spike,90,59,8.83,6.1,66.1,17.97,-9.01,2.0,38.94,0.67,2.15,0.23,-13.2,-21.09,-28.49,116.54
Mild_Bear,80-100,Flat,60,341,5.62,4.72,67.2,12.41,-8.27,1.5,48.91,0.84,1.45,0.11,-13.72,-22.95,-42.71,67.1
Mild_Bear,80-100,Flat,90,341,7.1,5.01,63.9,16.49,-9.55,1.73,48.91,0.6,1.63,0.15,-17.56,-22.51,-34.47,126.4
Mild_Bear,80-100,Big_Drop,60,178,5.23,3.56,64.0,11.53,-6.0,1.92,32.19,0.89,2.33,0.16,-11.0,-14.52,-22.78,44.18
Mild_Bear,80-100,Big_Drop,90,178,7.97,4.6,66.9,16.23,-8.68,1.87,44.16,0.75,1.59,0.18,-17.34,-23.63,-40.54,73.59
Mild_Bear,80-100,Drop,60,178,5.37,3.67,68.5,10.33,-5.54,1.87,25.73,0.98,2.56,0.21,-9.41,-12.78,-18.11,47.15
Mild_Bear,80-100,Drop,90,178,7.69,4.32,68.5,14.81,-7.83,1.89,34.03,0.72,1.67,0.23,-14.95,-22.73,-28.37,132.67
Mild_Bear,80-100,Jump,60,88,7.91,5.5,76.1,12.48,-6.66,1.87,29.22,1.26,2.55,0.27,-10.54,-15.32,-24.98,44.96
Mild_Bear,80-100,Jump,90,88,10.82,8.42,78.4,16.64,-10.32,1.61,38.41,0.99,1.7,0.28,-15.15,-25.23,-36.3,56.85
Mild_Bear,60-80,Spike,60,27,5.08,4.73,59.3,11.7,-4.55,2.57,17.64,0.99,2.36,0.29,-8.89,-11.27,-13.58,30.12
