date,value,mode
2018-10-01,1426472.5546255303,FROG
2018-10-03,1409717.2311697197,FROG
2018-10-04,1384449.397495098,FROG
2018-10-05,1382674.4976385306,FROG
2018-10-08,1379060.7951119803,FROG
2018-10-09,1373309.304098568,FROG
2018-10-10,1375299.8715424156,FROG
2018-10-11,1357495.0550140953,FROG
2018-10-12,1369788.4782684897,FROG
2018-10-15,1373993.3436554526,FROG
2018-10-16,1377655.0892609213,FROG
2018-10-17,1375164.4493378256,FROG
2018-10-19,1374728.1056183432,FROG
2018-10-22,1373538.2121552085,FROG
2018-10-23,1355644.8736298177,FROG
2018-10-24,1356996.5564606283,FROG
2018-10-25,1350811.8436713219,FROG
2018-10-26,1341500.9059863854,FROG
2018-10-29,1357632.7514148522,FROG
2018-10-30,1354765.461711483,FROG
2018-10-31,1370171.445329647,FROG
2018-11-01,1357887.6259326744,FROG
2018-11-02,1360860.2711963463,FROG
2018-11-05,1354818.7258130456,FROG
2018-11-06,1349957.3864783286,FROG
2018-11-07,1354884.2548254966,FROG
2018-11-09,1355639.0613440513,FROG
2018-11-12,1352399.1898273278,FROG
2018-11-13,1349527.1966327478,FROG
2018-11-14,1343510.9514661217,FROG
2018-11-15,1345036.9070020104,FROG
2018-11-16,1351361.398382931,FROG
2018-11-19,1356770.7568424037,FROG
2018-11-20,1346810.613013058,FROG
2018-11-21,1343895.7811374476,FROG
2018-11-22,1342032.6793613245,FROG
2018-11-26,1351869.2113132288,FROG
2018-11-27,1352446.0478388024,FROG
2018-11-28,1356513.212084408,FROG
2018-11-29,1360154.2675348474,FROG
2018-11-30,1367757.7598749353,FROG
2018-12-03,1362785.8872360806,FROG
2018-12-04,1361811.3912033658,FROG
